"","Study_site","file","Study_Name","Site_Name","Observational","Latitude__decimal_degrees","Longitude__Decimal_Degrees","Altitude__m","Country","Sample_StartDate_Month","Sample_StartDate_Year","Sample_EndDate_Month","Sample_EndDate_Year","ExtractionMethod","Sampled_Area","Sampled_Area_Unit","Sample_Effort","PH","PH_Collection_Method","Organic_Carbon__percent","Soil_Organic_Matter__percent","C.N_ratio","Sand__percent","Silt__percent","Clay__percent","Soil_Moisture_percent","Water_Holding_Capacity_percent__versus_dry_weight","SoilType","LandUse","HabitatCover","SpeciesRichness","SpeciesRichnessUnit","Habitat_as_described","Site_WetBiomass","Site_WetBiomassUnits","NumberofSpecies","Site_NumberofIndividuals","ph_new"
"11","Raty BS_2","665_Raty2004","Raty","BS_2","Observation",63.21,25.73,NA,"Finland",5,1999,10,1999,"Other Multiple",625,"cm2",12,4.9,"H20",18,NA,NA,NA,NA,1.94,NA,NA,NA,"Secondary vegetation","Broadleaf deciduous forest",NA,NA,"birch (B. pendula) stands planted 28–33 years prior to the study after clearcutting of mature spruce stands",NA,NA,5,88.6,4.9
"12","Raty BS_3","665_Raty2004","Raty","BS_3","Observation",63.21,25.73,NA,"Finland",5,1999,10,1999,"Other Multiple",625,"cm2",12,5.4,"H20",16,NA,NA,NA,NA,2.92,NA,NA,NA,"Secondary vegetation","Broadleaf deciduous forest",NA,NA,"birch (B. pendula) stands planted 28–33 years prior to the study after clearcutting of mature spruce stands",NA,NA,1,16,5.4
"13","Raty D_2","665_Raty2004","Raty","D_2","Observation",61.86,25.74,NA,"Finland",5,1999,10,1999,"Other Multiple",625,"cm2",12,5.2,"H20",20,NA,NA,NA,NA,4.65,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",NA,NA,"Three stands were ‘‘Natural Deciduous’’ forests",NA,NA,7,94.9,5.2
"14","Raty D_3","665_Raty2004","Raty","D_3","Observation",62.234,25.718,NA,"Finland",5,1999,10,1999,"Other Multiple",625,"cm2",12,5.6,"H20",12,NA,NA,NA,NA,10.6,NA,NA,NA,"Primary vegetation","Broadleaf deciduous forest",NA,NA,"Three stands were ‘‘Natural Deciduous’’ forests",NA,NA,5,277.6,5.6
"15","AgrInnov Gue-110","000_Guernion2014","AgrInnov","Gue-110","Observation",49.357,3.296,65,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,8.2,"H20",NA,1.6,NA,19.1,53.3,26,NA,NA,NA,"Production - Arable","Cropland",4,"Number of species","Arable farm Arable crop",NA,NA,4,154.2,8.2
"16","AgrInnov Gue-111","000_Guernion2014","AgrInnov","Gue-111","Observation",43.9,5.906,339,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.5,"H20",NA,2.6,NA,13.4,52.5,31.5,NA,NA,NA,"Production - Arable","Cropland",2,"Number of species","Arable farm Arable crop",NA,NA,2,333.3,8.5
"17","AgrInnov Gue-112","000_Guernion2014","AgrInnov","Gue-112","Observation",43.941,5.901,357,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,8.6,"H20",NA,2.4,NA,33.5,45.8,18.3,NA,NA,NA,"Production - Arable","Cropland",3,"Number of species","Arable farm Arable crop",NA,NA,3,250,8.6
"18","AgrInnov Gue-113","000_Guernion2014","AgrInnov","Gue-113","Observation",43.797,5.834,291,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.4,"H20",NA,2.5,NA,7.9,61.9,27.7,NA,NA,NA,"Production - Arable","Cropland",4,"Number of species","Arable farm Arable crop",NA,NA,4,812.4,8.4
"19","AgrInnov Gue-114","000_Guernion2014","AgrInnov","Gue-114","Observation",47.579,5.102,282,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,8.3,"H20",NA,5.2,NA,20.1,39.4,35.3,NA,NA,NA,"Production - Arable","Cropland",4,"Number of species","Arable farm Arable crop",NA,NA,4,550,8.3
"20","AgrInnov Gue-115","000_Guernion2014","AgrInnov","Gue-115","Observation",47.456,5.079,327,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,8.1,"H20",NA,5.7,NA,12.1,36.4,45.8,NA,NA,NA,"Production - Arable","Cropland",1,"Number of species","Arable farm Arable crop",NA,NA,1,16.7,8.1
"21","AgrInnov Gue-116","000_Guernion2014","AgrInnov","Gue-116","Observation",47.367,5.114,228,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,8.2,"H20",NA,3.5,NA,11.3,34.6,50.7,NA,NA,NA,"Production - Arable","Cropland",3,"Number of species","Arable farm Arable crop",NA,NA,3,112.5,8.2
"22","AgrInnov Gue-117","000_Guernion2014","AgrInnov","Gue-117","Observation",47.345,5.136,228,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,7,"H20",NA,1.8,NA,23.5,45.5,29.3,NA,NA,NA,"Production - Arable","Cropland",4,"Number of species","Arable farm Arable crop",NA,NA,4,150,7
"23","AgrInnov Gue-118","000_Guernion2014","AgrInnov","Gue-118","Observation",47.38,5.155,224,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,7.8,"H20",NA,3,NA,7.9,51.3,37.8,NA,NA,NA,"Production - Arable","Cropland",4,"Number of species","Arable farm Arable crop",NA,NA,4,375,7.8
"24","AgrInnov Gue-119","000_Guernion2014","AgrInnov","Gue-119","Observation",47.562,5.357,260,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,6.7,"H20",NA,2.3,NA,3.5,66.1,28.2,NA,NA,NA,"Production - Arable","Cropland",3,"Number of species","Arable farm Arable crop",NA,NA,3,570.8,6.7
"25","AgrInnov Gue-120","000_Guernion2014","AgrInnov","Gue-120","Observation",46.734,5.601,314,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.4,"H20",NA,3.4,NA,20,36.2,40.4,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",2,"Number of species","Arable farm Vineyards",NA,NA,2,66.7,8.4
"26","AgrInnov Gue-121","000_Guernion2014","AgrInnov","Gue-121","Observation",46.765,5.525,243,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,6.8,"H20",NA,2,NA,30.5,46.4,21.2,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",3,"Number of species","Arable farm Vineyards",NA,NA,3,191.7,6.8
"27","AgrInnov Gue-122","000_Guernion2014","AgrInnov","Gue-122","Observation",46.731,5.592,281,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.2,"H20",NA,3,NA,16,32.6,48.4,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",5,"Number of species","Arable farm Vineyards",NA,NA,5,137.5,8.2
"28","AgrInnov Gue-123","000_Guernion2014","AgrInnov","Gue-123","Observation",46.45,5.372,408,"France",4,2014,4,2014,"Hand sorting",8000,"cm3",6,8.5,"H20",NA,3.6,NA,12.9,35.4,48.1,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",6,"Number of species","Arable farm Vineyards",NA,NA,6,491.7,8.5
"29","AgrInnov Gue-124","000_Guernion2014","AgrInnov","Gue-124","Observation",46.455,5.371,292,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.5,"H20",NA,2.4,NA,17.8,43.3,36.5,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",2,"Number of species","Arable farm Vineyards",NA,NA,2,125,8.5
"30","AgrInnov Gue-125","000_Guernion2014","AgrInnov","Gue-125","Observation",45.406,5.443,643,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.4,"H20",NA,1.9,NA,21.4,40.9,35.8,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",2,"Number of species","Arable farm Vineyards",NA,NA,2,50,8.4
"31","AgrInnov Gue-126","000_Guernion2014","AgrInnov","Gue-126","Observation",46.903,5.793,322,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.1,"H20",NA,2.4,NA,17.6,30.1,50,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",6,"Number of species","Arable farm Vineyards",NA,NA,6,283.3,8.1
"32","AgrInnov Gue-127","000_Guernion2014","AgrInnov","Gue-127","Observation",46.839,5.692,287,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.5,"H20",NA,2,NA,29.5,24.6,43.9,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",4,"Number of species","Arable farm Vineyards",NA,NA,4,145.9,8.5
"33","AgrInnov Gue-128","000_Guernion2014","AgrInnov","Gue-128","Observation",50.088,6.01,443,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.4,"H20",NA,4,NA,8,39.5,48.5,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",6,"Number of species","Arable farm Vineyards",NA,NA,6,212.5,8.4
"34","AgrInnov Gue-129","000_Guernion2014","AgrInnov","Gue-129","Observation",49.754,5.535,450,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.3,"H20",NA,3.6,NA,10.5,40.2,45.7,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",5,"Number of species","Arable farm Vineyards",NA,NA,5,254.1,8.3
"35","AgrInnov Gue-130","000_Guernion2014","AgrInnov","Gue-130","Observation",46.73,5.593,288,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.4,"H20",NA,3.2,NA,15.8,41.7,39.3,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",5,"Number of species","Arable farm Vineyards",NA,NA,5,116.7,8.4
"36","AgrInnov Gue-132","000_Guernion2014","AgrInnov","Gue-132","Observation",47.229,4.968,286,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.3,"H20",NA,3.1,NA,19.3,34,43.6,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",1,"Number of species","Arable farm Vineyards",NA,NA,1,20.8,8.3
"37","AgrInnov Gue-134","000_Guernion2014","AgrInnov","Gue-134","Observation",47.122,4.575,470,"France",1,2014,1,2014,"Hand sorting",8000,"cm3",6,8.3,"H20",NA,3.1,NA,20.3,36.1,40.4,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",1,"Number of species","Arable farm Vineyards",NA,NA,1,8.3,8.3
"38","AgrInnov Gue-137","000_Guernion2014","AgrInnov","Gue-137","Observation",45.767,5.417,263,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,6.4,"H20",NA,1.5,NA,77.3,12.5,8.7,NA,NA,NA,"Production - Arable","Cropland",1,"Number of species","Arable farm Arable crop",NA,NA,1,25,6.4
"39","AgrInnov Gue-139","000_Guernion2014","AgrInnov","Gue-139","Observation",49.711,3.168,68,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,7.9,"H20",NA,2.1,NA,20.8,60.4,16.7,NA,NA,NA,"Production - Arable","Cropland",3,"Number of species","Arable farm Arable crop",NA,NA,3,295.8,7.9
"40","AgrInnov Gue-140","000_Guernion2014","AgrInnov","Gue-140","Observation",48.986,3.301,146,"France",1,2014,1,2014,"Hand sorting",8000,"cm3",6,7.6,"H20",NA,2.7,NA,6.8,53.8,36.7,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",3,"Number of species","Arable farm Vineyards",NA,NA,3,137.5,7.6
"41","AgrInnov Gue-141","000_Guernion2014","AgrInnov","Gue-141","Observation",49.106,3.572,213,"France",12,2013,12,2013,"Hand sorting",8000,"cm3",6,8.1,"H20",NA,2.3,NA,68.5,11.2,18,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",4,"Number of species","Arable farm Vineyards",NA,NA,4,258.3,8.1
"42","AgrInnov Gue-142","000_Guernion2014","AgrInnov","Gue-142","Observation",46.957,4.222,292,"France",11,2013,11,2013,"Hand sorting",8000,"cm3",6,8.1,"H20",NA,4.4,NA,24.6,36.7,34.3,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",2,"Number of species","Arable farm Vineyards",NA,NA,2,554.2,8.1
"43","AgrInnov Gue-143","000_Guernion2014","AgrInnov","Gue-143","Observation",48.601,3.596,177,"France",11,2014,11,2014,"Hand sorting",8000,"cm3",6,8.1,"H20",NA,3.4,NA,18.6,38,40.1,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",3,"Number of species","Arable farm Vineyards",NA,NA,3,112.5,8.1
"44","AgrInnov Gue-144","000_Guernion2014","AgrInnov","Gue-144","Observation",48.968,4.023,124,"France",12,2013,12,2013,"Hand sorting",8000,"cm3",6,8.1,"H20",NA,9.8,NA,26.3,34.3,29.6,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",1,"Number of species","Arable farm Vineyards",NA,NA,1,95.8,8.1
"45","AgrInnov Gue-145","000_Guernion2014","AgrInnov","Gue-145","Observation",49.418,2.062,150,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.2,"H20",NA,1.8,NA,10.1,67.8,20.2,NA,NA,NA,"Production - Arable","Cropland",2,"Number of species","Arable farm Arable crop",NA,NA,2,254.2,8.2
"46","AgrInnov Gue-146","000_Guernion2014","AgrInnov","Gue-146","Observation",49.511,3.921,86,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.5,"H20",NA,1.9,NA,65.4,17.4,15.3,NA,NA,NA,"Production - Arable","Cropland",4,"Number of species","Arable farm Arable crop",NA,NA,4,170.8,8.5
"47","AgrInnov Gue-147","000_Guernion2014","AgrInnov","Gue-147","Observation",49.442,3.535,174,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.2,"H20",NA,2.6,NA,26,37.8,33.6,NA,NA,NA,"Production - Arable","Cropland",4,"Number of species","Arable farm Arable crop",NA,NA,4,100,8.2
"48","AgrInnov Gue-148","000_Guernion2014","AgrInnov","Gue-148","Observation",43.926,5.328,278,"France",12,2013,12,2013,"Hand sorting",8000,"cm3",6,7.9,"H20",NA,9.9,NA,22.4,24.7,43,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",1,"Number of species","Arable farm Vineyards",NA,NA,1,16.7,7.9
"49","AgrInnov Gue-150","000_Guernion2014","AgrInnov","Gue-150","Observation",43.877,5.141,117,"France",12,2013,12,2013,"Hand sorting",8000,"cm3",6,8.5,"H20",NA,1.4,NA,41.5,35.3,21.8,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",1,"Number of species","Arable farm Vineyards",NA,NA,1,108.3,8.5
"50","AgrInnov Gue-151","000_Guernion2014","AgrInnov","Gue-151","Observation",43.882,6.097,694,"France",12,2013,12,2013,"Hand sorting",8000,"cm3",6,8.4,"H20",NA,1.5,NA,48.3,29,21.2,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",3,"Number of species","Arable farm Vineyards",NA,NA,3,108.3,8.4
"51","AgrInnov Gue-154","000_Guernion2014","AgrInnov","Gue-154","Observation",46.1,4.656,289,"France",12,2013,12,2013,"Hand sorting",8000,"cm3",6,7,"H20",NA,1.6,NA,78.5,13.4,6.6,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",1,"Number of species","Arable farm Vineyards",NA,NA,1,12.5,7
"52","AgrInnov Gue-155","000_Guernion2014","AgrInnov","Gue-155","Observation",46.05,4.653,250,"France",12,2013,12,2013,"Hand sorting",8000,"cm3",6,7.2,"H20",NA,1.4,NA,52.8,27.2,18.5,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",3,"Number of species","Arable farm Vineyards",NA,NA,3,75,7.2
"53","AgrInnov Gue-156","000_Guernion2014","AgrInnov","Gue-156","Observation",45.513,4.365,620,"France",1,2014,1,2014,"Hand sorting",8000,"cm3",6,8.3,"H20",NA,2.6,NA,22.9,28.3,46.2,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",5,"Number of species","Arable farm Vineyards",NA,NA,5,554.1,8.3
"54","AgrInnov Gue-157","000_Guernion2014","AgrInnov","Gue-157","Observation",45.973,4.644,300,"France",1,2014,1,2014,"Hand sorting",8000,"cm3",6,7,"H20",NA,3.8,NA,30.7,34.9,30.6,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",2,"Number of species","Arable farm Vineyards",NA,NA,2,308.3,7
"55","AgrInnov Gue-158","000_Guernion2014","AgrInnov","Gue-158","Observation",46.197,4.644,509,"France",12,2013,12,2013,"Hand sorting",8000,"cm3",6,6.4,"H20",NA,1.5,NA,71,16.2,11.2,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",3,"Number of species","Arable farm Vineyards",NA,NA,3,470.9,6.4
"56","AgrInnov Gue-160","000_Guernion2014","AgrInnov","Gue-160","Observation",46.201,4.705,345,"France",1,2014,1,2014,"Hand sorting",8000,"cm3",6,6.3,"H20",NA,2,NA,75.1,13.7,9.2,NA,NA,NA,"Production - Crop plantations","Cropland/Other vegetation mosaic",2,"Number of species","Arable farm Vineyards",NA,NA,2,125,6.3
"57","AgrInnov Gue-161","000_Guernion2014","AgrInnov","Gue-161","Observation",45.704,5.476,260,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,7.5,"H20",NA,3.1,NA,36.5,39.9,20.4,NA,NA,NA,"Production - Arable","Cropland",4,"Number of species","Arable farm Arable crop",NA,NA,4,245.8,7.5
"58","AgrInnov Gue-162","000_Guernion2014","AgrInnov","Gue-162","Observation",45.75,5.481,228,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,7.1,"H20",NA,2.4,NA,53.5,26.8,17.3,NA,NA,NA,"Production - Arable","Cropland",5,"Number of species","Arable farm Arable crop",NA,NA,5,583.3,7.1
"59","AgrInnov Gue-163","000_Guernion2014","AgrInnov","Gue-163","Observation",45.566,5.245,456,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,7.1,"H20",NA,1.9,NA,42.8,42.3,13,NA,NA,NA,"Production - Arable","Cropland",7,"Number of species","Arable farm Arable crop",NA,NA,7,287.4,7.1
"60","AgrInnov Gue-164","000_Guernion2014","AgrInnov","Gue-164","Observation",46.302,5.008,216,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,7.3,"H20",NA,2.1,NA,32,47.9,18,NA,NA,NA,"Production - Arable","Cropland",7,"Number of species","Arable farm Arable crop",NA,NA,7,158.3,7.3
"61","AgrInnov Gue-165","000_Guernion2014","AgrInnov","Gue-165","Observation",45.628,5.316,252,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,8.3,"H20",NA,7.9,NA,10.3,66.4,15.4,NA,NA,NA,"Production - Arable","Cropland",5,"Number of species","Arable farm Arable crop",NA,NA,5,129.2,8.3
"62","AgrInnov Gue-166","000_Guernion2014","AgrInnov","Gue-166","Observation",44.921,5.826,915,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,6.7,"H20",NA,3.4,NA,46.5,34.9,15.3,NA,NA,NA,"Production - Arable","Cropland",1,"Number of species","Arable farm Arable crop",NA,NA,1,41.7,6.7
"63","AgrInnov Gue-167","000_Guernion2014","AgrInnov","Gue-167","Observation",49.669,4.098,146,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.4,"H20",NA,1.7,NA,5.8,74.8,17.7,NA,NA,NA,"Production - Arable","Cropland",4,"Number of species","Arable farm Arable crop",NA,NA,4,154.2,8.4
"64","AgrInnov Gue-168","000_Guernion2014","AgrInnov","Gue-168","Observation",49.308,3.296,108,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,7.6,"H20",NA,1.9,NA,6.3,69.2,22.7,NA,NA,NA,"Production - Arable","Cropland",4,"Number of species","Arable farm Arable crop",NA,NA,4,312.6,7.6
"65","AgrInnov Gue-169","000_Guernion2014","AgrInnov","Gue-169","Observation",49.42,4.129,64,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.4,"H20",NA,4.5,NA,29.9,38,27.6,NA,NA,NA,"Production - Arable","Cropland",2,"Number of species","Arable farm Arable crop",NA,NA,2,45.8,8.4
"66","AgrInnov Gue-170","000_Guernion2014","AgrInnov","Gue-170","Observation",49.387,4.423,105,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,8.4,"H20",NA,2.8,NA,25.1,39,33.1,NA,NA,NA,"Production - Arable","Cropland",4,"Number of species","Arable farm Arable crop",NA,NA,4,137.5,8.4
"67","AgrInnov Gue-171","000_Guernion2014","AgrInnov","Gue-171","Observation",49.42,4.244,85,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,8.4,"H20",NA,3.8,NA,21.6,43.7,30.9,NA,NA,NA,"Production - Arable","Cropland",6,"Number of species","Arable farm Arable crop",NA,NA,6,241.7,8.4
"68","AgrInnov Gue-172","000_Guernion2014","AgrInnov","Gue-172","Observation",49.444,4.448,120,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,8.5,"H20",NA,3.9,NA,23.3,39.7,33.1,NA,NA,NA,"Production - Arable","Cropland",3,"Number of species","Arable farm Arable crop",NA,NA,3,129.2,8.5
"69","AgrInnov Gue-173","000_Guernion2014","AgrInnov","Gue-173","Observation",48.883,4.614,182,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,8.3,"H20",NA,3.5,NA,30.7,37.1,28.7,NA,NA,NA,"Production - Arable","Cropland",2,"Number of species","Arable farm Arable crop",NA,NA,2,141.7,8.3
"70","AgrInnov Gue-174","000_Guernion2014","AgrInnov","Gue-174","Observation",48.593,4.352,158,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,8.3,"H20",NA,5.7,NA,30.6,43.5,20.3,NA,NA,NA,"Production - Arable","Cropland",3,"Number of species","Arable farm Arable crop",NA,NA,3,295.9,8.3
"71","AgrInnov Gue-175","000_Guernion2014","AgrInnov","Gue-175","Observation",48.979,4.534,153,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,8.3,"H20",NA,3.6,NA,27.2,45.2,24,NA,NA,NA,"Production - Arable","Cropland",2,"Number of species","Arable farm Arable crop",NA,NA,2,283.3,8.3
"72","AgrInnov Gue-176","000_Guernion2014","AgrInnov","Gue-176","Observation",48.959,4.589,181,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,8.3,"H20",NA,4.1,NA,25.6,44.3,26,NA,NA,NA,"Production - Arable","Cropland",3,"Number of species","Arable farm Arable crop",NA,NA,3,66.7,8.3
"73","AgrInnov Gue-177","000_Guernion2014","AgrInnov","Gue-177","Observation",48.649,3.944,88,"France",3,2014,3,2014,"Hand sorting",8000,"cm3",6,8.3,"H20",NA,3.8,NA,24.4,41.2,30.6,NA,NA,NA,"Production - Arable","Cropland",1,"Number of species","Arable farm Arable crop",NA,NA,1,79.2,8.3
"74","AgrInnov Gue-178","000_Guernion2014","AgrInnov","Gue-178","Observation",48.98,4.598,158,"France",2,2014,2,2014,"Hand sorting",8000,"cm3",6,8.3,"H20",NA,3.3,NA,18.7,51.1,27,NA,NA,NA,"Production - Arable","Cropland",6,"Number of species","Arable farm Arable crop",NA,NA,6,375.1,8.3
