"Study_site","file","Study_Name","Site_Name","Observational","Latitude__decimal_degrees","Longitude__Decimal_Degrees","Altitude__m","Country","Sample_StartDate_Month","Sample_StartDate_Year","Sample_EndDate_Month","Sample_EndDate_Year","ExtractionMethod","Sampled_Area","Sampled_Area_Unit","Sample_Effort","PH","PH_Collection_Method","Organic_Carbon__percent","Soil_Organic_Matter__percent","C.N_ratio","Sand__percent","Silt__percent","Clay__percent","Soil_Moisture_percent","Water_Holding_Capacity_percent__versus_dry_weight","SoilType","LandUse","HabitatCover","SpeciesRichness","SpeciesRichnessUnit","Habitat_as_described","Site_WetBiomass","Site_WetBiomassUnits","NumberofSpecies","Site_NumberofIndividuals"
"burtis_earthworms Arnot1_6","493_Burtis2014","burtis_earthworms","Arnot1_6","Observation",42.278814,-76.637039,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Number of species",NA,NA,NA,2,17
"burtis_earthworms Arnot1_7","493_Burtis2014","burtis_earthworms","Arnot1_7","Observation",42.278814,-76.637039,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Number of species",NA,NA,NA,2,37
"burtis_earthworms Arnot1_8","493_Burtis2014","burtis_earthworms","Arnot1_8","Observation",42.278814,-76.637039,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Number of species",NA,NA,NA,2,10
"burtis_earthworms Arnot2_2","493_Burtis2014","burtis_earthworms","Arnot2_2","Observation",42.282733,-76.634747,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Number of species",NA,NA,NA,3,25
"burtis_earthworms Arnot2_3","493_Burtis2014","burtis_earthworms","Arnot2_3","Observation",42.282733,-76.634747,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Number of species",NA,NA,NA,4,22
"burtis_earthworms Arnot2_4","493_Burtis2014","burtis_earthworms","Arnot2_4","Observation",42.282733,-76.634747,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Number of species",NA,NA,NA,3,23
"burtis_earthworms Arnot2_5","493_Burtis2014","burtis_earthworms","Arnot2_5","Observation",42.282733,-76.634747,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Number of species",NA,NA,NA,3,16
"burtis_earthworms Arnot2_6","493_Burtis2014","burtis_earthworms","Arnot2_6","Observation",42.282733,-76.634747,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Number of species",NA,NA,NA,2,8
"burtis_earthworms Arnot2_7","493_Burtis2014","burtis_earthworms","Arnot2_7","Observation",42.282733,-76.634747,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Number of species",NA,NA,NA,2,10
"burtis_earthworms Arnot2_8","493_Burtis2014","burtis_earthworms","Arnot2_8","Observation",42.282733,-76.634747,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Number of species",NA,NA,NA,2,12
"burtis_earthworms Arnot2_9","493_Burtis2014","burtis_earthworms","Arnot2_9","Observation",42.282733,-76.634747,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Number of species",NA,NA,NA,1,4
"burtis_earthworms Hammond_1","493_Burtis2014","burtis_earthworms","Hammond_1","Observation",42.4425,-76.3025,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Number of species",NA,NA,NA,3,17
"burtis_earthworms Hammond_2","493_Burtis2014","burtis_earthworms","Hammond_2","Observation",42.4425,-76.3025,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Number of species",NA,NA,NA,3,8
"burtis_earthworms Hammond_3","493_Burtis2014","burtis_earthworms","Hammond_3","Observation",42.4425,-76.3025,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Number of species",NA,NA,NA,2,31
"burtis_earthworms Hammond_4","493_Burtis2014","burtis_earthworms","Hammond_4","Observation",42.4425,-76.3025,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Number of species",NA,NA,NA,3,22
"burtis_earthworms Hammond_5","493_Burtis2014","burtis_earthworms","Hammond_5","Observation",42.4425,-76.3025,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Number of species",NA,NA,NA,3,21
"burtis_earthworms Hammond_6","493_Burtis2014","burtis_earthworms","Hammond_6","Observation",42.4425,-76.3025,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Number of species",NA,NA,NA,2,18
"burtis_earthworms Hammond_7","493_Burtis2014","burtis_earthworms","Hammond_7","Observation",42.4425,-76.3025,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Number of species",NA,NA,NA,3,18
"burtis_earthworms Hammond_8","493_Burtis2014","burtis_earthworms","Hammond_8","Observation",42.4425,-76.3025,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Number of species",NA,NA,NA,4,26
"burtis_earthworms Ringwood_1","493_Burtis2014","burtis_earthworms","Ringwood_1","Observation",42.450994,-76.368267,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Number of species",NA,NA,NA,5,29
"burtis_earthworms Ringwood_2","493_Burtis2014","burtis_earthworms","Ringwood_2","Observation",42.450994,-76.368267,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"Number of species",NA,NA,NA,4,11
"burtis_earthworms Ringwood_3","493_Burtis2014","burtis_earthworms","Ringwood_3","Observation",42.450994,-76.368267,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Number of species",NA,NA,NA,2,12
"burtis_earthworms Ringwood_4","493_Burtis2014","burtis_earthworms","Ringwood_4","Observation",42.450994,-76.368267,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Number of species",NA,NA,NA,4,18
"burtis_earthworms Ringwood_5","493_Burtis2014","burtis_earthworms","Ringwood_5","Observation",42.450994,-76.368267,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Number of species",NA,NA,NA,3,19
"burtis_earthworms Ringwood_6","493_Burtis2014","burtis_earthworms","Ringwood_6","Observation",42.450994,-76.368267,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Number of species",NA,NA,NA,3,12
"burtis_earthworms Ringwood_7","493_Burtis2014","burtis_earthworms","Ringwood_7","Observation",42.450994,-76.368267,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Number of species",NA,NA,NA,3,27
"burtis_earthworms Ringwood_8","493_Burtis2014","burtis_earthworms","Ringwood_8","Observation",42.450994,-76.368267,NA,"United States",10,2012,10,2012,"Liquid extraction (e.g. Mustard)",2500,"cm2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Number of species",NA,NA,NA,3,15
"Finland EPO_10Margin","4643_Nieminen2011","Finland","EPO_10Margin","Observation",62.96281485,22.53166236,NA,"Finland",10,2004,10,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,39.3,NA,NA,"Secondary vegetation","Herbaceous",4,"Number of species","Field margin - no trees",62.35733333,"g/m2",4,96.000000003
"Finland EPO_1Field","4643_Nieminen2011","Finland","EPO_1Field","Observation",62.93508393,22.48362422,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,5.52,"H20",3.57,NA,13.22222222,9,54.6,36.4,46.6,NA,NA,"Pasture","Herbaceous",3,"Number of species","Grass",115.2773333,"g/m2",3,93.33333333
"Finland EPO_1Margin","4643_Nieminen2011","Finland","EPO_1Margin","Observation",62.93545069,22.48076637,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,40.6,NA,NA,"Secondary vegetation","Herbaceous",6,"Number of species","Field margin - no trees",94.99866667,"g/m2",6,193.3333333
"Finland EPO_2Field","4643_Nieminen2011","Finland","EPO_2Field","Observation",62.93347901,22.48150493,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,4.55,"H20",6.52,NA,15.1627907,25.1,46.3,28.6,48.9,NA,NA,"Pasture","Herbaceous",2,"Number of species","Grass",32.952,"g/m2",2,23.999999997
"Finland EPO_2Margin","4643_Nieminen2011","Finland","EPO_2Margin","Observation",62.93332733,22.48210039,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,36.7,NA,NA,"Secondary vegetation","Herbaceous",4,"Number of species","Field margin - no trees",345.852,"g/m2",4,193.333333367
"Finland EPO_4Field","4643_Nieminen2011","Finland","EPO_4Field","Observation",62.92655374,22.4841717,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,5.03,"H20",3.65,NA,12.5862069,50,30.5,19.5,47,NA,NA,"Pasture","Herbaceous",2,"Number of species","Grass",16.93866667,"g/m2",2,16.000000003
"Finland EPO_4Margin","4643_Nieminen2011","Finland","EPO_4Margin","Observation",62.92638367,22.48447404,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,39.2,NA,NA,"Secondary vegetation","Herbaceous with spare tree/shrub",5,"Number of species","Field margin - some trees",94.85466667,"g/m2",5,152.000000003
"Finland EPO_8Field","4643_Nieminen2011","Finland","EPO_8Field","Observation",62.95662394,22.53795855,NA,"Finland",10,2004,10,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,5.61,"H20",1.72,NA,12.28571429,70.6,18.7,10.7,37.6,NA,NA,"Unknown","Unknown",3,"Number of species","Other",201.636,"g/m2",3,134.66666667
"Finland EPO_8Margin","4643_Nieminen2011","Finland","EPO_8Margin","Observation",62.95655076,22.53763414,NA,"Finland",10,2004,10,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,30.6,NA,NA,"Secondary vegetation","Herbaceous with spare tree/shrub",5,"Number of species","Field margin - some trees",176.1706667,"g/m2",5,130.66666667
"Finland EPO_9Field","4643_Nieminen2011","Finland","EPO_9Field","Observation",62.96042063,22.53240359,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,5.08,"H20",5.17,NA,16.15625,61.8,23.8,14.4,48,NA,NA,"Pasture","Herbaceous",1,"Number of species","Grass",1.506666667,"g/m2",1,2.666666667
"Finland EPO_9Margin","4643_Nieminen2011","Finland","EPO_9Margin","Observation",62.9601472,22.53086597,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,31.3,NA,NA,"Secondary vegetation","Herbaceous",4,"Number of species","Field margin - no trees",182.2373333,"g/m2",4,240.000000033
"Finland HAM_3Field","4643_Nieminen2011","Finland","HAM_3Field","Observation",61.33924309,24.21473079,NA,"Finland",10,2005,10,2005,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,6.06,"H20",2.35,NA,16.78571429,84.4,9.7,5.9,24,NA,NA,"Production - Arable","Cropland",1,"Number of species","Cereal",3.168,"g/m2",1,2.666666667
"Finland HAM_3Margin","4643_Nieminen2011","Finland","HAM_3Margin","Observation",61.33974811,24.21264831,NA,"Finland",10,2005,10,2005,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA,"Secondary vegetation","Herbaceous with spare tree/shrub",4,"Number of species","Field margin - some trees",61.34266667,"g/m2",4,82.666666663
"Finland HAM_4Field","4643_Nieminen2011","Finland","HAM_4Field","Observation",61.34049541,24.20968427,NA,"Finland",10,2005,10,2005,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,5.81,"H20",2.19,NA,15.64285714,68,18.4,13.6,28.3,NA,NA,"Production - Arable","Cropland",2,"Number of species","Cereal",28.66266667,"g/m2",2,38.666666667
"Finland HAM_4Margin","4643_Nieminen2011","Finland","HAM_4Margin","Observation",61.3411885,24.21020208,NA,"Finland",10,2005,10,2005,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,30.8,NA,NA,"Secondary vegetation","Herbaceous with spare tree/shrub",5,"Number of species","Field margin - some trees",138.6626667,"g/m2",5,158.66666667
"Finland HAM_5Field","4643_Nieminen2011","Finland","HAM_5Field","Observation",61.33933937,24.20674019,NA,"Finland",10,2005,10,2005,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,6.25,"H20",1.94,NA,14.92307692,91.3,5.8,2.9,23.3,NA,NA,"Production - Arable","Herbaceous",1,"Number of species","Green Fallow",9.273333333,"g/m2",1,6.666666667
"Finland HAM_5Margin","4643_Nieminen2011","Finland","HAM_5Margin","Observation",61.3388026,24.20727405,NA,"Finland",10,2005,10,2005,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,19.2,NA,NA,"Secondary vegetation","Herbaceous with spare tree/shrub",6,"Number of species","Field margin - some trees",184.2853333,"g/m2",6,182.666666677
"Finland HAM_6Field","4643_Nieminen2011","Finland","HAM_6Field","Observation",61.34045822,24.20133136,NA,"Finland",10,2005,10,2005,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,6.34,"H20",2.33,NA,19.41666667,88.3,7.4,4.3,25.7,NA,NA,"Production - Arable","Cropland",1,"Number of species","Cereal",21.02266667,"g/m2",1,16
"Finland HAM_6Margin","4643_Nieminen2011","Finland","HAM_6Margin","Observation",61.34130484,24.20058274,NA,"Finland",10,2005,10,2005,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,26.6,NA,NA,"Secondary vegetation","Herbaceous with spare tree/shrub",5,"Number of species","Field margin - some trees",111.7906667,"g/m2",5,84.000000004
"Finland HAM_7Field","4643_Nieminen2011","Finland","HAM_7Field","Observation",61.34000888,24.19695975,NA,"Finland",10,2005,10,2005,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,5.71,"H20",2.65,NA,14.72222222,74.6,14.7,10.7,34.7,NA,NA,"Production - Arable","Cropland",2,"Number of species","Cereal",24.984,"g/m2",2,33.33333333
"Finland HAM_7Margin","4643_Nieminen2011","Finland","HAM_7Margin","Observation",61.34191177,24.19518176,NA,"Finland",10,2005,10,2005,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,36.6,NA,NA,"Secondary vegetation","Herbaceous",5,"Number of species","Field margin - no trees",180.3106667,"g/m2",5,189.333333303
"Finland JKA_10Field","4643_Nieminen2011","Finland","JKA_10Field","Observation",60.84953673,23.46699223,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,5.29,"H20",2.72,NA,12.36363636,77.4,10.2,12.4,42.4,NA,NA,"Pasture","Herbaceous",3,"Number of species","Pasture",221.0466667,"g/m2",3,121.333333303
"Finland JKA_10Margin","4643_Nieminen2011","Finland","JKA_10Margin","Observation",60.84919371,23.46658823,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,38.3,NA,NA,"Secondary vegetation","Herbaceous",5,"Number of species","Field margin - no trees",233.5613333,"g/m2",5,153.333333337
"Finland JKA_13Field","4643_Nieminen2011","Finland","JKA_13Field","Observation",60.86421215,23.44982132,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,6.18,"H20",2.13,NA,11.21052632,54.7,18,27.3,32.1,NA,NA,"Production - Arable","Cropland",2,"Number of species","Cereal",63.34533333,"g/m2",2,26.66666667
"Finland JKA_13Margin","4643_Nieminen2011","Finland","JKA_13Margin","Observation",60.86377982,23.45045885,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,"Secondary vegetation","Herbaceous with spare tree/shrub",5,"Number of species","Field margin - some trees",270.6773333,"g/m2",5,221.333333337
"Finland JKA_2Field","4643_Nieminen2011","Finland","JKA_2Field","Observation",60.81942234,23.49811306,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,5.36,"H20",4.34,NA,14.46666667,34.5,18.1,47.4,49.9,NA,NA,"Pasture","Herbaceous",1,"Number of species","Grass",12.65333333,"g/m2",1,10.66666667
"Finland JKA_2Margin","4643_Nieminen2011","Finland","JKA_2Margin","Observation",60.81874761,23.50048627,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,"Secondary vegetation","Herbaceous",2,"Number of species","Field margin - no trees",20.80266667,"g/m2",2,26.66666667
"Finland JKA_5Field","4643_Nieminen2011","Finland","JKA_5Field","Observation",60.79777527,23.46875058,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,6.03,"H20",2.69,NA,12.80952381,33.7,23.4,42.9,40.8,NA,NA,"Pasture","Herbaceous",3,"Number of species","Grass",59.01866667,"g/m2",3,48
"Finland JKA_5Margin","4643_Nieminen2011","Finland","JKA_5Margin","Observation",60.79747265,23.46885747,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,40.2,NA,NA,"Secondary vegetation","Herbaceous",6,"Number of species","Field margin - no trees",263.1826667,"g/m2",6,180.000000003
"Finland JKA_8Field","4643_Nieminen2011","Finland","JKA_8Field","Observation",60.79412744,23.45374915,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,5.82,"H20",4.2,NA,13.125,22.2,24.6,53.2,46.5,NA,NA,"Pasture","Herbaceous",2,"Number of species","Pasture",157.332,"g/m2",2,81.33333333
"Finland JKA_8Margin","4643_Nieminen2011","Finland","JKA_8Margin","Observation",60.79396552,23.45611988,NA,"Finland",9,2004,9,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,28.7,NA,NA,"Secondary vegetation","Herbaceous",2,"Number of species","Field margin - no trees",132.9173333,"g/m2",2,66.66666666
"Finland JKA_9Field","4643_Nieminen2011","Finland","JKA_9Field","Observation",60.84816422,23.4684328,NA,"Finland",8,2004,8,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,5.95,"H20",2.5,NA,13.15789474,68.4,14.6,17,37.1,NA,NA,"Pasture","Herbaceous",2,"Number of species","Pasture",284.9106667,"g/m2",2,89.33333333
"Finland JKA_9Margin","4643_Nieminen2011","Finland","JKA_9Margin","Observation",60.84840945,23.46853459,NA,"Finland",8,2004,8,2004,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",2500,"cm2",3,NA,NA,NA,NA,NA,NA,NA,NA,29.8,NA,NA,"Secondary vegetation","Herbaceous with spare tree/shrub",3,"Number of species","Field margin - some trees",241.4506667,"g/m2",3,131.999999997
