"Study_site","file.x","Study_ID","Site_Name.x","SpeciesBinomial","MorphospeciesID","Genus","Family","LifeStage","Native.Nonnative","Functional_Type","Abundance","Abundance_Unit","WetBiomass","WetBiomassUnits","file.y","Study_Name","Site_Name.y","Observational","Latitude__decimal_degrees","Longitude__Decimal_Degrees","Altitude__m","Country","Sample_StartDate_Month","Sample_StartDate_Year","Sample_EndDate_Month","Sample_EndDate_Year","ExtractionMethod","Sampled_Area","Sampled_Area_Unit","Sample_Effort","PH","PH_Collection_Method","Organic_Carbon__percent","Soil_Organic_Matter__percent","C.N_ratio","Sand__percent","Silt__percent","Clay__percent","Soil_Moisture_percent","Water_Holding_Capacity_percent__versus_dry_weight","SoilType","LandUse","HabitatCover","SpeciesRichness","SpeciesRichnessUnit","Habitat_as_described","Site_WetBiomass","Site_WetBiomassUnits","NumberofSpecies","Site_NumberofIndividuals"
"Singh_India Mango Garden, Keshopur XIV","000_Singh2016","Singh_India","Mango Garden, Keshopur XIV","Metaphire posthuma",NA,NA,"Megascolecidae","Unknown","Unknown","Endogeic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Mango Garden, Keshopur XIV","Observational",32.1247778,75.6740694,222,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.45,"Unknown",3.24,NA,NA,NA,NA,NA,83,NA,"Clay loam","Unknown","Cropland/Other vegetation mosaic",1,"Number of species","Mango Garden",NA,NA,1,NA
"Singh_India Nursery, Guru Nanak Dev University, Amritsar VI","000_Singh2016","Singh_India","Nursery, Guru Nanak Dev University, Amritsar VI","Metaphire posthuma",NA,NA,"Megascolecidae","Unknown","Unknown","Endogeic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Nursery, Guru Nanak Dev University, Amritsar VI","Observational",32.0588889,75.3852778,221,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.03,"Unknown",2.2,NA,NA,NA,NA,NA,95,NA,"Loam","Unknown","Herbaceous",3,"Number of species","Nursery",NA,NA,3,NA
"Singh_India Nursery, Guru Nanak Dev University, Amritsar VI","000_Singh2016","Singh_India","Nursery, Guru Nanak Dev University, Amritsar VI","Lampito mauritti",NA,NA,"Megascolecidae","Unknown","Unknown","Anecic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Nursery, Guru Nanak Dev University, Amritsar VI","Observational",32.0588889,75.3852778,221,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.03,"Unknown",2.2,NA,NA,NA,NA,NA,95,NA,"Loam","Unknown","Herbaceous",3,"Number of species","Nursery",NA,NA,3,NA
"Singh_India Nursery, Guru Nanak Dev University, Amritsar VI","000_Singh2016","Singh_India","Nursery, Guru Nanak Dev University, Amritsar VI","Amynthas morissi",NA,NA,"Megascolecidae","Unknown","Unknown","Unknown",NA,NA,NA,NA,"000_Singh2016","Singh_India","Nursery, Guru Nanak Dev University, Amritsar VI","Observational",32.0588889,75.3852778,221,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.03,"Unknown",2.2,NA,NA,NA,NA,NA,95,NA,"Loam","Unknown","Herbaceous",3,"Number of species","Nursery",NA,NA,3,NA
"Singh_India Nursery, Khalsa College, Amritsar II","000_Singh2016","Singh_India","Nursery, Khalsa College, Amritsar II","Metaphire posthuma",NA,NA,"Megascolecidae","Unknown","Unknown","Endogeic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Nursery, Khalsa College, Amritsar II","Observational",31.5062778,75.4541944,219,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,9.36,"Unknown",1.62,NA,NA,NA,NA,NA,82,NA,"Sandy clay loan","Unknown","Herbaceous",1,"Number of species","Flower",NA,NA,1,NA
"Singh_India Pandit Mohan Lal College, Gurdaspur XIII","000_Singh2016","Singh_India","Pandit Mohan Lal College, Gurdaspur XIII","Metaphire posthuma",NA,NA,"Megascolecidae","Unknown","Unknown","Endogeic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Pandit Mohan Lal College, Gurdaspur XIII","Observational",32.0898889,75.6402,221,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.75,"Unknown",11.6,NA,NA,NA,NA,NA,80,NA,"Loam","Unknown","Herbaceous",2,"Number of species","Garden",NA,NA,2,NA
"Singh_India Pandit Mohan Lal College, Gurdaspur XIII","000_Singh2016","Singh_India","Pandit Mohan Lal College, Gurdaspur XIII","Lampito mauritti",NA,NA,"Megascolecidae","Unknown","Unknown","Anecic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Pandit Mohan Lal College, Gurdaspur XIII","Observational",32.0898889,75.6402,221,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.75,"Unknown",11.6,NA,NA,NA,NA,NA,80,NA,"Loam","Unknown","Herbaceous",2,"Number of species","Garden",NA,NA,2,NA
"Singh_India Rainbow Resort, Attari X","000_Singh2016","Singh_India","Rainbow Resort, Attari X","Metaphire posthuma",NA,NA,"Megascolecidae","Unknown","Unknown","Endogeic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Rainbow Resort, Attari X","Observational",31.6015444,74.686,211,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,9.33,"Unknown",3.24,NA,NA,NA,NA,NA,86,NA,"Sandy loam","Unknown","Herbaceous",2,"Number of species","Garden",NA,NA,2,NA
"Singh_India Rainbow Resort, Attari X","000_Singh2016","Singh_India","Rainbow Resort, Attari X","Lampito mauritti",NA,NA,"Megascolecidae","Unknown","Unknown","Anecic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Rainbow Resort, Attari X","Observational",31.6015444,74.686,211,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,9.33,"Unknown",3.24,NA,NA,NA,NA,NA,86,NA,"Sandy loam","Unknown","Herbaceous",2,"Number of species","Garden",NA,NA,2,NA
"Singh_India Ramdass VII","000_Singh2016","Singh_India","Ramdass VII","Metaphire posthuma",NA,NA,"Megascolecidae","Unknown","Unknown","Endogeic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Ramdass VII","Observational",31.9590556,74.9166111,242,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.97,"Unknown",2.08,NA,NA,NA,NA,NA,91,NA,"Loam","Production - Arable","Paddy field",1,"Number of species","Paddy field",NA,NA,1,NA
"Singh_India Village Chinna VIII","000_Singh2016","Singh_India","Village Chinna VIII","Metaphire posthuma",NA,NA,"Megascolecidae","Unknown","Unknown","Endogeic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Village Chinna VIII","Observational",31.7588889,74.7824167,229,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,9.12,"Unknown",3.36,NA,NA,NA,NA,NA,89,NA,"Loam","Production - Arable","Paddy field",2,"Number of species","Paddy field",NA,NA,2,NA
"Singh_India Village Chinna VIII","000_Singh2016","Singh_India","Village Chinna VIII","Lampito mauritti",NA,NA,"Megascolecidae","Unknown","Unknown","Anecic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Village Chinna VIII","Observational",31.7588889,74.7824167,229,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,9.12,"Unknown",3.36,NA,NA,NA,NA,NA,89,NA,"Loam","Production - Arable","Paddy field",2,"Number of species","Paddy field",NA,NA,2,NA
"Singh_India Village Dhanda XVIII","000_Singh2016","Singh_India","Village Dhanda XVIII","Metaphire posthuma",NA,NA,"Megascolecidae","Unknown","Unknown","Endogeic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Village Dhanda XVIII","Observational",31.8836056,74.9636111,243,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.79,"Unknown",1.85,NA,NA,NA,NA,NA,86,NA,"Sandy loam","Production - Arable","Paddy field",1,"Number of species","Paddy",NA,NA,1,NA
"Singh_India Village Dharamkot XX","000_Singh2016","Singh_India","Village Dharamkot XX","Metaphire posthuma",NA,NA,"Megascolecidae","Unknown","Unknown","Endogeic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Village Dharamkot XX","Observational",32.0229722,74.9684722,257,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.81,"Unknown",3.01,NA,NA,NA,NA,NA,82,NA,"Sandy loam","Production - Arable","Cropland/Other vegetation mosaic",1,"Number of species","Sugarcane",NA,NA,1,NA
"Singh_India Village Ghrinda IX","000_Singh2016","Singh_India","Village Ghrinda IX","Metaphire posthuma",NA,NA,"Megascolecidae","Unknown","Unknown","Endogeic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Village Ghrinda IX","Observational",31.6139167,74.6631944,213,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.77,"Unknown",2.43,NA,NA,NA,NA,NA,84,NA,"Sandy loam","Unknown","Cropland/Other vegetation mosaic",2,"Number of species","Guava Garden",NA,NA,2,NA
"Singh_India Village Ghrinda IX","000_Singh2016","Singh_India","Village Ghrinda IX","Amynthas morissi",NA,NA,"Megascolecidae","Unknown","Unknown","Unknown",NA,NA,NA,NA,"000_Singh2016","Singh_India","Village Ghrinda IX","Observational",31.6139167,74.6631944,213,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.77,"Unknown",2.43,NA,NA,NA,NA,NA,84,NA,"Sandy loam","Unknown","Cropland/Other vegetation mosaic",2,"Number of species","Guava Garden",NA,NA,2,NA
"Singh_India Village Othiyan IV","000_Singh2016","Singh_India","Village Othiyan IV","Metaphire posthuma",NA,NA,"Megascolecidae","Unknown","Unknown","Endogeic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Village Othiyan IV","Observational",31.6456389,74.9556111,244,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.8,"Unknown",3.59,NA,NA,NA,NA,NA,92,NA,"Sandy loam","Production - Arable","Cropland",1,"Number of species","Wheat",NA,NA,1,NA
"Singh_India Village Sangatpura XI","000_Singh2016","Singh_India","Village Sangatpura XI","Metaphire posthuma",NA,NA,"Megascolecidae","Unknown","Unknown","Endogeic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Village Sangatpura XI","Observational",32.286,75.5268889,216,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.81,"Unknown",8.46,NA,NA,NA,NA,NA,83,NA,"Loam","Production - Arable","Paddy field",2,"Number of species","Paddy",NA,NA,2,NA
"Singh_India Village Sangatpura XI","000_Singh2016","Singh_India","Village Sangatpura XI","Eutyphoeus incommodus",NA,NA,"Octochaetidae","Unknown","Unknown","Unknown",NA,NA,NA,NA,"000_Singh2016","Singh_India","Village Sangatpura XI","Observational",32.286,75.5268889,216,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.81,"Unknown",8.46,NA,NA,NA,NA,NA,83,NA,"Loam","Production - Arable","Paddy field",2,"Number of species","Paddy",NA,NA,2,NA
"Singh_India Village Shangewali XXI","000_Singh2016","Singh_India","Village Shangewali XXI","Metaphire posthuma",NA,NA,"Megascolecidae","Unknown","Unknown","Endogeic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Village Shangewali XXI","Observational",31.8991944,74.9316944,270,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.99,"Unknown",3.94,NA,NA,NA,NA,NA,81,NA,"Loam","Production - Wood plantation","Broadleaf deciduous forest",1,"Number of species","Eucalyptus field",NA,NA,1,NA
"Singh_India Village Talwandi Rama XV","000_Singh2016","Singh_India","Village Talwandi Rama XV","Metaphire posthuma",NA,NA,"Megascolecidae","Unknown","Unknown","Endogeic",NA,NA,NA,NA,"000_Singh2016","Singh_India","Village Talwandi Rama XV","Observational",31.9481389,74.9914444,235,"India",NA,NA,NA,NA,"Hand sorting",900,"cm2",1,8.88,"Unknown",0.92,NA,NA,NA,NA,NA,88,NA,"Sandy loam","Unknown","Cropland/Other vegetation mosaic",1,"Number of species","Vegetables",NA,NA,1,NA
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Lumbricus terrestris",NA,NA,NA,"Adult","Non-native","Anecic",1,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,6,"H20",NA,NA,NA,NA,NA,NA,29.9,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Lumbricus terrestris",NA,NA,NA,"Adult","Non-native","Anecic",1,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,6.41,"H20",NA,NA,NA,NA,NA,NA,36.3,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Lumbricus terrestris",NA,NA,NA,"Adult","Non-native","Anecic",1,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,7,"H20",NA,NA,NA,NA,NA,NA,33.6,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Aporrectodea turgida",NA,NA,NA,"Adult","Non-native","Endogeic",4,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,6,"H20",NA,NA,NA,NA,NA,NA,29.9,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Aporrectodea turgida",NA,NA,NA,"Adult","Non-native","Endogeic",4,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,6.41,"H20",NA,NA,NA,NA,NA,NA,36.3,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Aporrectodea turgida",NA,NA,NA,"Adult","Non-native","Endogeic",4,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,7,"H20",NA,NA,NA,NA,NA,NA,33.6,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Aporrectodea tuberculata",NA,NA,NA,"Adult","Non-native","Endogeic",1,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,6,"H20",NA,NA,NA,NA,NA,NA,29.9,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Aporrectodea tuberculata",NA,NA,NA,"Adult","Non-native","Endogeic",1,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,6.41,"H20",NA,NA,NA,NA,NA,NA,36.3,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Aporrectodea tuberculata",NA,NA,NA,"Adult","Non-native","Endogeic",1,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,7,"H20",NA,NA,NA,NA,NA,NA,33.6,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Octolasion tyrtaeum",NA,NA,NA,"Adult","Non-native","Endogeic",1,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,6,"H20",NA,NA,NA,NA,NA,NA,29.9,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Octolasion tyrtaeum",NA,NA,NA,"Adult","Non-native","Endogeic",1,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,6.41,"H20",NA,NA,NA,NA,NA,NA,36.3,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Octolasion tyrtaeum",NA,NA,NA,"Adult","Non-native","Endogeic",1,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,7,"H20",NA,NA,NA,NA,NA,NA,33.6,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Aporrectodea rosea",NA,NA,NA,"Adult","Non-native","Endogeic",2,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,6,"H20",NA,NA,NA,NA,NA,NA,29.9,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Aporrectodea rosea",NA,NA,NA,"Adult","Non-native","Endogeic",2,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,6.41,"H20",NA,NA,NA,NA,NA,NA,36.3,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Aporrectodea rosea",NA,NA,NA,"Adult","Non-native","Endogeic",2,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,7,"H20",NA,NA,NA,NA,NA,NA,33.6,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
"Kernecker1 1_AG_RIP_1","46_Kernecker2015","Kernecker1","1_AG_RIP_1","Aporrectodea turgida",NA,NA,NA,"Adult","Non-native","Endogeic",1,"Number of individuals",NA,NA,"46_Kernecker2015","Kernecker1","1_AG_RIP_1","Observation",45.131073,-72.992735,NA,"Canada",9,2009,5,2011,"Hand sorting + Liquid Extraction (e.g. Formaldehyde)",625,"cm2",4,6,"H20",NA,NA,NA,NA,NA,NA,29.9,NA,NA,"Secondary vegetation","Herbaceous",NA,NA,NA,NA,NA,11,17
